gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Rpl7,25145.31228,-0.194986065,0.445913619,-0.437273176,0.661913246,0.829226009
Rdh10,361.6792257,-0.287237646,0.49829772,-0.576437808,0.564319295,0.761927721
Stau2,129.1005,0.388007867,1.01176524,0.383495945,0.701352076,0.853727845
Ube2w,504.7680704,0.610743252,0.335298062,1.821493535,0.068531869,0.213730984
Tceb1,1313.601352,0.770250797,0.640845776,1.201928492,0.229391234,0.455635757
Tmem70,572.5146926,1.09732866,0.675975364,1.623326409,0.104519647,0.280881702
Ly96,65.67954341,0.990417834,0.765498645,1.293820492,0.195727433,0.412863479
Jph1,231.3570271,0.666299029,1.397329801,0.476837342,0.633477952,0.811047096
Gdap1,5.749555252,0.138821155,4.046121066,0.034309689,0.972630199,0.989978554
Pi15,403.3961285,6.439092901,1.655370957,3.889818697,0.000100319,0.001983166
Crispld1,13.83249368,2.591713934,3.586139535,0.722703037,0.469862349,0.688458185
Tfap2b,122.7951675,-1.970729192,0.787560555,-2.502320841,0.012338205,0.067578717
Mcm3,301.8781745,3.492382064,0.897086118,3.893028769,9.90E-05,0.001963274
Paqr8,747.7668678,-1.346976464,0.617450155,-2.181514496,0.029145383,0.122621242
Efhc1,11.07043643,-6.551974405,1.414765729,-4.631137348,3.64E-06,0.00016585
Tram2,5.972202638,-3.12695174,3.148682824,-0.993098357,0.320662025,0.553747489
Tmem14a,18.14928071,1.392491266,1.335597009,1.042598371,0.297134344,0.529897625
Gsta3,27.46502623,-3.682095592,1.386603934,-2.655477532,0.007919621,0.049191634
Kcnq5,37.2342241,-1.294466782,3.783257089,-0.342156706,0.732232965,0.87179892
Ogfrl1,320.2314426,-2.723450135,0.694737071,-3.920116324,8.85E-05,0.001808846
B3gat2,30.25761754,-0.086547935,1.110759133,-0.077917825,0.93789342,0.975878154
Smap1,592.5567497,1.361008228,0.970431673,1.402477131,0.160772815,0.366496241
Sdhaf4,207.456612,1.318053984,1.014622718,1.299058222,0.193923949,0.41069549
Fam135a,3493.008711,0.3738664,0.647721504,0.57720239,0.563802743,0.761564805
Lmbrd1,1131.866206,-1.130764014,0.532860385,-2.122064327,0.033832337,0.136129815
Phf3,729.389664,0.191981657,0.519957767,0.369225481,0.711959665,0.859567199
Ptp4a1,337.1333909,-0.828196927,0.441567089,-1.875585721,0.060712189,0.198233615
Prim2,110.7846876,0.621795191,0.637638447,0.97515323,0.329484258,0.562688696
Rab23,103.8485147,1.614655656,0.633996476,2.546789638,0.010871895,0.061611413
Bag2,133.192386,0.761083125,0.807722795,0.942257825,0.346060655,0.577592166
Zfp451,244.42901,0.52993833,0.643402868,0.823649312,0.410138848,0.636066999
Gm15455,70.60392111,0.488324021,0.653702822,0.747012258,0.455056162,0.675182715
Bend6,7.300080381,-2.840829797,2.581006264,-1.100667533,0.271041382,0.503278361
Dst,3715.437727,0.040213027,0.947284962,0.042450824,0.966139313,0.989642338
Ccdc115,497.6812332,0.635329813,0.417371815,1.522215421,0.127955112,0.318056303
Imp4,451.6749642,0.581421479,0.290728798,1.999875768,0.04551368,0.165758235
Ptpn18,46.75752804,-1.527019642,1.442645667,-1.058485584,0.28983412,0.522736493
Arhgef4,460.0959355,-1.057663697,0.531510049,-1.989922293,0.046599496,0.168000858
Fam168b,1742.559319,0.072484526,0.447531329,0.161965254,0.871333216,0.94512811
Plekhb2,1120.512952,2.170134845,0.371856206,5.835951667,5.35E-09,9.39E-07
